Time,Vehicle#,Type,Light,Violation
12:35:12,306,car,unknown,NO
12:35:12,307,car,unknown,NO
12:35:12,308,car,unknown,NO
12:35:12,309,car,unknown,NO
12:35:12,310,car,unknown,NO
12:35:13,311,car,unknown,NO
12:35:13,312,car,unknown,NO
12:35:13,313,car,unknown,NO
12:35:13,314,car,unknown,NO
12:35:13,315,car,unknown,NO
12:35:13,316,car,unknown,NO
12:35:14,317,car,unknown,NO
12:35:14,318,car,unknown,NO
12:35:14,319,car,unknown,NO
12:35:14,320,car,unknown,NO
12:35:14,321,car,unknown,NO
12:35:14,322,car,unknown,NO
12:35:15,323,car,unknown,NO
12:35:15,324,car,unknown,NO
12:35:15,325,car,unknown,NO
12:35:15,326,car,unknown,NO
12:35:15,327,car,unknown,NO
12:35:15,328,car,unknown,NO
12:35:16,329,car,unknown,NO
12:35:16,330,car,unknown,NO
12:35:16,331,car,unknown,NO
12:35:16,332,car,unknown,NO
12:35:16,333,car,unknown,NO
12:35:16,334,car,unknown,NO
12:35:17,335,car,unknown,NO
12:35:17,336,car,unknown,NO
12:35:17,337,car,unknown,NO
12:35:17,338,car,unknown,NO
12:35:17,339,car,unknown,NO
12:35:17,340,car,unknown,NO
12:35:18,341,car,unknown,NO
12:35:18,342,car,unknown,NO
12:35:18,343,car,unknown,NO
12:35:18,344,car,unknown,NO
12:35:18,345,car,unknown,NO
12:35:18,346,car,unknown,NO
12:35:19,347,car,unknown,NO
12:35:19,348,car,unknown,NO
12:35:19,349,car,unknown,NO
12:35:19,350,car,unknown,NO
12:35:19,351,car,unknown,NO
12:35:19,352,car,unknown,NO
12:35:19,353,car,unknown,NO
12:35:20,354,car,unknown,NO
12:35:20,355,car,unknown,NO
12:35:20,356,car,unknown,NO
12:35:20,357,car,unknown,NO
12:35:20,358,car,unknown,NO
12:35:20,359,car,unknown,NO
12:35:21,360,car,unknown,NO
12:35:21,361,car,unknown,NO
12:35:21,362,car,unknown,NO
12:35:21,363,car,unknown,NO
12:35:21,364,car,unknown,NO
12:35:21,365,car,unknown,NO
12:35:22,366,car,unknown,NO
12:35:22,367,car,unknown,NO
12:35:22,368,car,unknown,NO
12:35:22,369,car,unknown,NO
12:35:22,370,car,unknown,NO
12:35:22,371,car,unknown,NO
12:35:23,372,car,unknown,NO
12:35:23,373,car,unknown,NO
12:35:23,374,car,unknown,NO
12:35:23,375,car,unknown,NO
12:35:24,376,car,unknown,NO
12:35:24,377,car,unknown,NO
12:35:24,378,car,unknown,NO
12:35:24,379,car,green,NO
12:35:24,380,car,unknown,NO
12:35:24,381,car,unknown,NO
12:35:25,382,car,unknown,NO
12:35:25,383,car,unknown,NO
12:35:25,384,car,unknown,NO
12:35:25,385,car,unknown,NO
12:35:25,386,car,unknown,NO
12:35:26,387,car,unknown,NO
12:35:26,388,car,unknown,NO
12:35:26,389,car,unknown,NO
12:35:26,390,car,unknown,NO
12:35:26,391,car,unknown,NO
12:35:26,392,car,unknown,NO
12:35:27,393,car,unknown,NO
12:35:27,394,car,unknown,NO
12:35:27,395,car,unknown,NO
12:35:27,396,car,unknown,NO
12:35:27,397,car,unknown,NO
12:35:28,398,car,unknown,NO
12:35:28,399,car,unknown,NO
12:35:28,400,car,unknown,NO
12:35:28,401,car,unknown,NO
12:35:28,402,car,unknown,NO
12:35:29,403,car,unknown,NO
12:35:29,404,car,unknown,NO
12:35:29,405,car,unknown,NO
12:35:29,406,car,unknown,NO
12:35:29,407,car,unknown,NO
12:35:29,408,car,unknown,NO
12:35:30,409,car,unknown,NO
12:35:30,410,car,unknown,NO
12:35:30,411,car,unknown,NO
12:35:30,412,car,unknown,NO
12:35:30,413,car,unknown,NO
12:35:30,414,car,unknown,NO
12:35:31,415,car,unknown,NO
12:35:31,416,car,unknown,NO
12:35:31,417,car,unknown,NO
12:35:31,418,car,unknown,NO
12:35:31,419,car,unknown,NO
12:35:31,420,car,unknown,NO
12:35:32,421,car,unknown,NO
12:35:32,422,car,unknown,NO
12:35:32,423,car,unknown,NO
12:35:32,424,car,unknown,NO
12:35:32,425,car,unknown,NO
12:35:32,426,car,unknown,NO
12:35:32,427,car,unknown,NO
12:35:33,428,car,unknown,NO
12:35:33,429,car,unknown,NO
12:35:33,430,car,unknown,NO
12:35:33,431,car,unknown,NO
12:35:33,432,car,unknown,NO
12:35:33,433,car,unknown,NO
12:35:34,434,car,unknown,NO
12:35:34,435,car,unknown,NO
12:35:34,436,car,unknown,NO
12:35:34,437,car,unknown,NO
12:35:34,438,car,unknown,NO
12:35:34,439,motorcycle,unknown,NO
12:35:35,440,motorcycle,unknown,NO
12:35:35,441,motorcycle,unknown,NO
12:35:35,442,car,unknown,NO
12:35:35,443,car,unknown,NO
12:35:35,444,motorcycle,unknown,NO
12:35:35,445,motorcycle,unknown,NO
12:35:36,446,motorcycle,unknown,NO
12:35:36,447,motorcycle,unknown,NO
12:35:36,448,motorcycle,unknown,NO
12:35:36,449,car,unknown,NO
12:35:36,450,car,unknown,NO
12:35:37,451,truck,unknown,NO
12:35:37,452,car,unknown,NO
12:35:37,453,car,unknown,NO
12:35:37,454,car,unknown,NO
12:35:37,455,car,unknown,NO
12:35:37,456,motorcycle,unknown,NO
12:35:38,457,car,unknown,NO
12:35:38,458,car,unknown,NO
12:35:38,459,car,unknown,NO
12:35:38,460,car,unknown,NO
12:35:38,461,car,unknown,NO
12:35:38,462,car,unknown,NO
12:35:39,463,car,unknown,NO
12:35:39,464,car,unknown,NO
12:35:39,465,car,unknown,NO
12:35:39,466,car,unknown,NO
12:35:39,467,car,unknown,NO
